filename,country,region,farm,producer,variety,tasting_notes,altitude_min_m,altitude_max_m,process,card_color_hex,stamp_motif,language,card_design,blurb
IMG_0744.jpg,El Salvador,Ataco,Villa Galicia,Mauricio Salaverría,Bourbon Marsellesa,"Passion fruit, Pineapple, Lemon, Caramel, Dark chocolate",1550,1550,Natural,#D58A2F,zigzag/maze ribbon with sun ray sketches,en,stamp,"Mauricio developed this recipe to enhance the coffee's tropical flavor. The producer makes sure to stir the coffee regularly to ensure even drying, and time does the rest! The coffee is then left to rest for a day in jute bags and then floated to remove impurities and unripe or overripe cherries. Last but not least, the cherries are shade-dried on raised beds for over 25 days."
IMG_0745.jpg,Ethiopia,"Gedeo, Yirgacheffe",Mengeche Derso,Mr. Mengesha Derso,Heirloom,"Jam, Hibiscus, Jasmine, Winey acidity",2300,2300,Natural,#4F7A2C,eight-pointed flower bloom,en,stamp,"Mr. Mengesha Derso owns and operates 15 hectares of land in the highlands of Gedeo zone, located in the southern region of Ethiopia. This region, and Gedeo zone in particular, is renowned for its production of high-quality Yirgacheffe coffee. At 62 years old, Mr. Mengesha brings 62 years of farming experience to the area. His dedication to producing top-quality coffee has earned him recognition from government organizations. Mr. Mengesha has 12 children, and along with four of his children, he actively works on the coffee farm. They use natural fertilizers such as animal manure and plant remnants to enrich the soil."
IMG_0746.jpg,Kenya,Thika,Chania Estate,Boyce Harries,"SL34, Ruiru 11, Batian, K7","Spices, Lemon, Tomato, Milk chocolate",1525,1525,Washed,#C72030,fan of leaves with signature scribble,pt,stamp,"Boyce Harries is the fifth generation of the family to manage the two Chania and Oreti plantations. These two explorations are the latest medium-dimension explorations that remain in Kenya. This estate's coffee is a mixture of French Mission, SL 34, Ruiru 11, Batian and K7."
IMG_0747.jpg,Ethiopia,"Guji, Uraga",Goğoğu,,"Heirloom 74110, 74112","Wine, Prune, Apricot, Milk chocolate, Yogurt, Black tea, Berries",2000,2000,Natural,#5C2A2A,infinity loop / cherry pair with leaves,en,stamp,"This microlot comes from 400-500 small producers in Goğoğu, Guji. Most farms here are tiny — often less than 2 hectares — where coffee grows 'garden style' alongside local crops. Producers work with endemic varieties, shared between neighbors or picked up at the drying station. The result? Vibrant, complex coffees that show off the true character of Goğoğu."
IMG_0748.jpg,Colombia,Puerto Limón,Finca La Esperanza,Luis Hernando Morales,Pink Bourbon,"Green apple, Floral, Chocolate, Plum",1780,1780,Washed,#94A035,petal/leaf cluster with line drawing,en,stamp,"Washed Colombia at it's best — clean, juicy, and packed with flavor! This lot from La Esperanza shines with notes of green apple, floral aromatics, rich chocolate, and ripe plum. First-generation grower Luis Hernando Morales carefully de-pulped and dry-fermented the cherries for 45-50 hours, bringing out an elegant and vibrant profile. A true standout in the cup!"
IMG_0749.jpg,Guatemala,Huehuetenango,El Panal,La Libertad cooperative,"Bourbon, Caturra, Catuai","Malt, Raisin, Raspberry, Cacao, Soda-sparkling, Candy",1600,1800,Natural,#9D8F36,leaf petals with bean dots (honeycomb-style),en,stamp,"We're back for the 2nd year working with the Qawale Project, led by VIDES58 in Huehuetenango. These legends have decades of coffee know-how and are helping farmers level up with training, field support, and the Rainforest Alliance model — more trees, more soil care, more biodiversity. This lot is called El Panal ('honeycomb') for its hive-like energy, buzzing with bees around the farms. On top of that, producers get medical care, school support, and fun community activities."
IMG_0750.jpg,Honduras,La Paz,Finca El Jardín,Mario Mejía,"Bourbon, Catuai, IHCAFE90, Lempira","Blueberry, Clove, Cinnamon, Caramel",1100,1700,Natural,#CD5A2A,amorphous cloud / blob with thin line trails,pt,stamp,"At El Jardín, Mario combines innovation with conservation — exploring agroforestry practices and slow-drying techniques that produce deep tropical fruit profiles. Through layered drying beds and meticulous attention to detail, Mario brings curiosity to his work, emphasizing experimentation and environmental sustainability. His efforts have caught the attention of international tasting tables, supporting local labors and elevating the reputation of La Paz as a hub for high-quality coffee."
IMG_0751.jpg,El Salvador,Apaneca,Finca Noruega,Los Naranjos Coffee,Caturra,"Red wine, Cocoa, Tartaric acidity, Caramel",1380,1380,Natural,#D77F3D,wine glass with sun-ray spikes,en,stamp,"This farm is currently part of the Renacer project, a coffee development center for small- and medium-sized producers working to improve coffee quality in El Salvador. They also have earned several Cup of Excellence wins. Finca Noruega is consistent across the industry. Finca Noruega is investing in soil studies to evaluate nutritional properties that allow them to fight more effectively diseases like coffee rust."
IMG_0752.jpg,Panama,Chiriqui,Baru Black Mountain,Pedro Escribano,"Caturra, Catuai","Lime, Hazelnut, Milk chocolate, Macadamia",1600,1700,Washed,#3F8B8C,elongated bean shapes scattered with squiggles,en,stamp,"We're teaming up with Pedro for the 2nd year in a row, at Baru Black Mountain farm in Chiriqui province, perched at 1,350-1,500m altitude. This coffee thrives on killer conditions — volcanic soil and natural shade. Hand-picked cherries get dried on African beds in an oven, creating a brew that's balanced, complex, and sweet."
IMG_0753.jpg,Indonesia,"Aceh, Pegasing",Asman Gayo,Asman Arianto,"Ateng, Bor Bor, Catimor","Chocolate, Cooked cherry, Winey, Clove",1300,1650,Natural,#9F3327,scattered clove/clover icons with leaf doodles,en,stamp,"The Asman Gayo mill serves several small coffee producers within the Pantan Musara villages. Several years ago, these producers were dislocated from their homes and land because of a natural disaster, and they have rebuilt their lives and farms with a new focus on coffee. Unlike the vast majority of other Sumatran coffee receiving and processing centers, this mill is producing washed coffees, as well as naturals."
IMG_0754.jpg,Brazil,Minas Gerais,Fazenda Rio Brilhante,Urban Family,Aramosa,"Milk chocolate, Raisins, Apple, Vanilla",1000,1150,Natural,#A5573D,pinwheel / asterisk star with arc and dot doodles,pt,stamp,"Produced by the Urban family, a traditional first- and second-generation coffee farming family. The father and his eldest sons run an area of 1,755 hectares. Aramosa is one of the varieties with the lowest caffeine content. Aramosa is a cross between Coffea Arabica and Coffea Racemosa. Coffea Racemosan is endemic to the native forests of South Africa and Mozambique."
IMG_0755.jpg,Kenya,"Embu County, Ngandori",Gakundu Coffee Factory,,"Batian, SL28, SL34, Ruiru 11","Toffee, Blackberry, Raspberry, Syrup",1650,1650,Washed,#C82130,flower of overlapping petals with bean ovals,en,stamp,Gakundu Coffee Factory is located in Embu County in central Kenya. It sits at an altitude of about 1650m above sea level in a region with red soil. The area experiences moderate bimodal rainfall of about 1100mm p.a. with temperatures ranging between 13-25 degrees Celsius. The long rains fall between March and May while the short rains come between October and December. Gakundu farms have two cropping seasons.
IMG_0756.jpg,Ethiopia,Sidama,Duwancho Washing Station,Smallholder farmers,Heirloom,"Caramel, Stone fruit, Cherry, Candy, Juicy acidity",1900,2150,Natural,#A02E5B,amorphous splatter shape with line trails,en,stamp,This lot comes to us from the Duwancho washing station in Sidama. Coffee is soaked for two hours here before being placed on raised beds. This prolonged immersion time increases the sweetness level of the cherry. Producers strive to keep the skin of the cherry as thin as possible to ensure consistency. The drying beds are placed in a location with good airflow and dry slow for up to 30 days.
IMG_0757.jpg,Colombia,"Huila, Bruselas",Finca Satus,Javier Satus,Bourbon Aji,"Lime, Milk chocolate, Floral, Apple, Spicy",1800,1800,Washed,#5C3823,butterfly / leaf-wing pair,pt,stamp,"This variety is new on the market and was discovered 20 years ago in the Bruselas region. It is known for the spiciness of its cherries and its high yield in production, which is very important for the sustainability of the coffee producers. The first stage is a two-day fermentation. In the first step the cherries are placed for 24 hours in closed tanks with water, then a 48-hour fermentation environment, in which the microorganisms eat the mucilage to remove it."
IMG_0758.jpg,Guatemala,La Libertad,El Panal,Small Producers,"Bourbon, Caturra, Catuai","Strawberry, Pineapple, Hazelnut, Fig",1600,1800,Natural,#82213A,,pt,header-bar,"Created in 2006, the Qawale project was built to support and empower small and medium producers. The project was created by Vides58, a coffee structure from Huehuetenango with decades of experience in specialty coffee. They share knowledge with producers and provide technical support on practices and processing. This lot is called El Panal, which means honeycomb, because the project requires the elegant organization of a beehive! The increased biodiversity in the agricultural exploitations also allows more bees to be nearby."
IMG_0759.jpg,Guatemala,"Huehuetenango, Cuilco Oaxaca",Finca Buenos Aires,Melchor Leon Raymundo,"Caturra, Bourbon, Catuai","Milk chocolate, Almond, Plum, Raisin",1850,1850,Washed,#A9963F,,pt,header-bar,"Finca Buenos Aires is a family farm composed of 5 associates from the same area. The coffee is cultivated under organic certification and Fair Trade criteria in the Cuilco Oaxaca village of the Huehuetenango department, using compost as fertilizer and cultural management for pest and disease control. This permits an ideal microclimate to obtain quality coffee, cultivated under shade at 1,850m, with various varieties such as Caturra, Bourbon and Catuai."
IMG_0760.jpg,Colombia,Caldas,Finca El Renacer,Felipe Restrepo,Pink Bourbon,"Grapefruit, Pomegranate, Vanilla, Brown sugar",1750,1750,Washed,#84421F,,pt,header-bar,"Finca El Renacer is located at the top of the mountain and decided to experiment with varieties — starting with Pink Bourbon. For the 2023 harvest, a new processing center was officially launched, in which protocols are being developed to seek to stabilize the cup profiles in greater volume and to allow them to be replicated consistently. This is the first official harvest of the Pink Bourbon."
IMG_0761.jpg,Costa Rica,"Tarrazú, Dota",Finca La Pachuca,Roberto Mata,Caturra,"Boozy, Milk chocolate, Red grape, Mature plum",1700,1700,Natural,#9F6B7D,,en,header-bar,"M&M micro mill, managed by the coffee expert Roberto Mata and his son Michael, stands as a testament to their extensive experience in crafting exceptional specialty coffee. The coffee undergoes a natural controlled lactic fermentation process, with 100% of the beans harvested at their optimal ripeness, measuring at 20 brix. Prior to this, there's a slow drying phase on African beds lasting 7 days. Subsequently, the beans are dried for 6 days in a rotary dryer, maintaining a temperature below 50°C, with resting periods every 12 hours."
IMG_0762.jpg,Colombia,"Tolima, Rioblanco",Finca La Esmeralda,Johan Gutierrez,Caturra,"Blueberry, Apple, Vanilla, Milk chocolate",1800,1800,Washed,#B3C25F,,pt,header-bar,"Johan, a fifth-generation coffee producer at the historic Finca Monteverde, decided to establish a processing center on his Finca La Esmeralda in 2018 with the goal of offering better prices to local producers. His vision included supplying coffee cherries and implementing rigorous fermentation protocols to generate larger lots with consistent cup profiles. In addition, he sought to increase international recognition for the high-quality coffee produced in the region."
IMG_0763.jpg,Costa Rica,Heredia,Finca Colima,Alejo Castro Kahle,Caturra,"Grape, Plum, Brown sugar, Molasses, Cinnamon",1400,1500,Anaerobic Natural,#7A8A2F,,pt,header-bar,"Alejo belongs to the fifth generation of the Castro-Kahle family, who have cultivated coffee for over 100 years on the slopes of the Poas volcano in central Costa Rica. Coffee is not just a specialty for the Castro-Kahle clan but a tradition. Finca Colima is located near the Brava volcano. With coffee plants planted in very fertile volcanic soil. The soil benefits from good organic material and texture that produces a well-balanced coffee with a sweet flavor profile. The coffee is grown under shade and harvested from November to March."
IMG_0764.jpg,Ethiopia,"West Arsi, Nensebo",Refisa Washing Station,,Heirloom,"Pineapple, Peach, Orange, Caramel, Coconut",2150,2150,Washed,#B83825,,pt,header-bar,"The Refisa washing station has been a very active outpost since 2019, with around 550 producers who manually pick coffee at peak ripeness. When the coffee cherries arrive at the station, they ferment in shade for 45 to 60 hours and are then washed to remove the mucilage. The coffee is then dried on raised beds. Refisa offers producers access to education and a hospital. It supplies 20 to 40 new plants annually to each producer."
IMG_0765.jpg,El Salvador,"Morazon, La Montañita",San Carlos Dos,,Yellow Icatu,"Blood orange, Sparkling lemonade, Cherry, Creamy dark chocolate",1100,1665,Anaerobic Natural,#B82336,,pt,header-bar,"Originally they cultivated only Pacas and Bourbon and recently added a small quantity of Pacamara in the highest lots of the farm. The treatment station and the coffee processing patios are situated at 1400 meters, providing a perfect place for drying the coffees, as this lot is situated facing north/northeast, which is the direction of the prevailing winds, helping to maintain stable temperatures for drying."
IMG_0766.jpg,Ethiopia,"Jimma, Gomma",Guracho,Nazimu Abamecha,Heirloom,"Mango, Peach, Cherry, Lemon, Honey",2010,2010,Natural,#9A2A4E,,pt,header-bar,"This forest coffee is produced by Nazimu Abamecha, in the Jimma region. Nazimu specializes in microlots and cultivates 8.5 hectares of coffee in a natural environment rich in indigenous tree species. For the natural process, the coffee beans are harvested at the farm and separated by flotation in tanks. Then they are transported to the drying beds, where they dry between 15 and 20 days, depending on climate conditions."
IMG_0767.jpg,Ethiopia,Sidama,Keramo Washing Station,Daye Bensa,JARC 74112,"Bergamot, Blood orange, Lemon zest",2300,2300,Washed,#E8C547,,en,header-bar,"The producers of Keramo live high in the beautiful Bombe mountains and have an out-grower relationship with our Ethiopian partner, Daye Bensa. The out-grower group consists of about 1,500 farmers in various parts of the mountain range, and these producers deliver their coffee to Daye Bensa's Keramo washing station. The main varieties are JARC 74112 & cultivated local varieties. Due to the staggering elevations of up to 2,300+ meters, the beans are very dense, with heavy concentrations of the smaller screen sizes."
IMG_0768.jpg,Rwanda,"Nyamasheke, Machuba",Mwasa 129,Mwasa Cooperative,Red Bourbon,"Tangerine, Red berries, Strawberry jam, Vanilla, Cream milky chocolate",1650,1650,Washed,#F0C13A,,pt,header-bar,"Mwasa is located in the Machuba sector of the Nyamasheke district. Founded in 2006, Mwasa is a cooperative-owned washing station, originally founded by a group of nine neighboring farmers, among them Elasto, who currently serves as vice-president of the cooperative. The station is situated in Mwasa cell, at an altitude of 1,650m, encompassing more than 3 hectares."
